DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.2,0,10,156.113,38583.46,157.113,50,0,0,80.464,25241.37,23.60997,21.38598,3.869,0.754,1000,
0.3,0,10,153.481,37924.4,154.481,50,0,0,78.124,24341.75,21.8597,20.5577,3.922,0.963,1000,
0.4,0,10,153.652,37963.06,154.652,50,0,0,75.866,24441.56,22.90951,20.88497,3.759,0.928,1000,
0.5,0,10,151.125,37327.73,152.125,50,0,0,73.571,23604.65,21.51979,21.34375,4.075,1.011,1000,
0.6,0,10,150.095,37066.61,151.095,50,0,0,71.382,23258.26,20.71217,20.36724,3.699,1.091,1000,
0.7,0,10,148.708,36714.77,149.708,50,0,0,68.791,22853.42,21.00895,20.18489,4.009,1.052,1000,
0.8,0,10,148.622,36687.06,149.622,50,0,0,66.41,22822.37,20.88208,20.48291,4.302,1.019,1000,
0.9,0,10,147.849,36487.79,148.849,50,0,0,63.841,22602.11,21.13135,19.98388,3.848,0.96,1000,
1,0,10,146.417,36125.81,147.417,50,0,0,61.297,22142.75,20.28279,20.17235,4.166,0.881,1000,
1.1,0,10,146.599,36169.6,147.599,50,0,0,60.169,22191.61,20.16323,19.73772,3.734,0.964,1000,
1.2,0,10,147.26,36329.2,148.26,50,0,0,59.679,22428.11,21.15486,20.88642,4.558,1.16,1000,
1.3,0,10,146.64,36173.54,147.64,50,0,0,58.729,22235.72,20.94252,20.22792,3.734,0.953,1000,
1.4,0,10,146.073,36029.68,147.073,50,0,0,58.064,22017.98,19.69514,19.83377,4.026,0.877,1000,
1.5,0,10,146.897,36232.81,147.897,50,0,0,57.162,22375.86,22.4241,20.20615,3.35,0.966,1000,
1.6,0,10,146.445,36117.18,147.445,50,0,0,56.377,22239.52,22.36059,20.18829,4.493,0.9,1000,
1.7,0,10,145.806,35956.63,146.806,50,0,0,55.329,21977.01,20.62614,19.87048,4.484,0.966,1000,
1.8,0,10,146.459,36114.07,147.459,50,0,0,54.821,22172.06,20.69608,20.05604,3.846,0.897,1000,
1.9,0,10,147.074,36264.29,148.074,50,0,0,53.858,22421.46,22.27201,19.90313,3.586,1.057,1000,
10,0,10,153.568,37805.59,154.568,50,0,0,34.105,24555.66,25.78865,22.87547,3.764,1.089,1000,
2,0,10,146.39,36091.65,147.39,50,0,0,53.203,22173.21,21.20952,20.66206,4.428,0.875,1000,
2.1,0,10,146.214,36046.84,147.214,50,0,0,52.497,22110.07,20.94151,20.37423,4.648,1.006,1000,
2.2,0,10,145.104,35770.68,146.104,50,0,0,52.067,21743.75,19.9441,20.35616,4.187,0.875,1000,
2.3,0,10,145.858,35954.55,146.858,50,0,0,51.679,21952.04,19.62531,20.63108,3.591,1.106,1000,
2.4,0,10,146.663,36154.2,147.663,50,0,0,51.403,22288.29,22.00943,20.76453,3.663,0.82,1000,
2.5,0,10,145.988,35986.28,146.988,50,0,0,50.957,21994.41,19.73143,20.39621,3.885,0.981,1000,
2.6,0,10,146.095,36010.09,147.095,50,0,0,50.444,22032.07,19.8879,20.26242,4.569,0.946,1000,
2.7,0,10,146.102,36009.59,147.102,50,0,0,50.18,22036.27,19.9416,19.77797,3.295,0.926,1000,
2.8,0,10,147.127,36262.54,148.127,50,0,0,49.597,22406.52,21.57251,20.6944,4.069,0.872,1000,
2.9,0,10,146.138,36017.22,147.138,50,0,0,49.149,22110.21,21.47273,19.69134,3.414,1.095,1000,
3,0,10,146.909,36206.09,147.909,50,0,0,48.746,22300.44,20.58615,20.27804,3.944,1.071,1000,
3.1,0,10,145.575,35873.35,146.575,50,0,0,48.508,21923.55,20.97039,20.41662,4.18,0.856,1000,
